dynamics,cc,rc,hc,cs,ss,hs,mymy,hmy,memy,rr,hr,rh,hh,meh,hme,meme,cr,sr,myh,CEBPA,SPI1,MYB,RUNX1,HOXA9,MEIS1
Saddle,0.08255748716839856,1.0181935231995738,-1.0844687200519556,1.2357453137976495,1.2897215299386326,0.4106682398133673,-0.7500135843356959,1.1182220360697799,0.2380725681507334,1.4600410316388084,-0.21118980891591077,-0.41454234699164116,0.8182396478106848,0.1308313197454103,1.338902477300379,1.115064910622786,0.48724362368095886,0.115670868139924,0.027347031336491967,5.3068533383319165,5.996453440098556,4.888930896636645,6.742334217091629,7.205254645717245,5.581764800971937
Saddle,2.2294107261589344,1.8340473884845445,-1.146063605451381,1.0084722980313374,-0.1749862142976144,1.5542698156761583,1.904640876039216,0.604674637670084,0.07936682683552987,1.0308804809498318,-1.6675076498962027,-0.7720522772861096,-1.792644394589474,1.2462353834798359,1.787178172663233,-1.5152662434274768,0.5101370078256556,0.19117212187776356,0.5180203811637267,5.6497774190033825,5.208642028172449,4.739962528695239,7.150513870652835,7.279353268532835,6.375435602004683
Saddle,6.172364593642091,1.5118227156829476,-0.7981426816567379,1.9601183833799123,0.5700101689472659,0.9101956316395042,1.6709166497672023,1.3198924250074162,0.5101563234398065,-0.6924967090363587,-0.47553233926300575,-0.47459274696169773,1.768348079718733,1.2569369140418412,0.6216610217451946,-1.4633951196168375,0.5648580030764957,0.9966304282338792,0.49507157214705133,6.174844152716921,5.022220264102196,4.866322252898968,5.641795480517606,6.996224268310151,5.526571300893368
Saddle,0.13036990343765953,1.5556912008900032,-0.498570965091536,1.737980040492467,-1.0104156076510167,1.2890388897741902,0.21161162583344328,0.27080415882827596,0.14246884341287125,-1.9285647777194161,-1.5012618375091153,-0.35308765871894,-1.986445973632263,1.558389098323381,1.902206009441409,-0.1805782324976608,0.6609676175227394,0.6090673017159021,0.7022625261061095,6.143040312245312,5.900231858846902,4.363897353910663,6.562260209097831,7.2989430037088905,6.291885465333588
Saddle,-2.984395536444983,1.7753656505981534,-0.33278365573609814,1.4737190426802695,1.0978049529971639,0.38894291461135666,1.9992825419939968,1.0365981719242465,0.9001777095566063,-1.131022569860363,-0.39738210661538,-0.8796091284127288,-0.5061650909347422,0.15548585812000223,0.31618009583790835,1.1493737022869657,0.8492581098023226,0.17531599959846378,0.21481301678247977,6.346388583975104,5.316218524558152,5.080708411705486,7.049365055277061,6.003899382826794,5.686656775240801
Saddle,6.93085781524491,0.951805999295563,-0.9399795388636458,0.12586826603982068,-1.5127537126868495,0.7456781502198392,1.5343074441215223,0.3476384314464878,0.6472685942001578,-0.4558928952087187,-0.3061076554321567,-1.729123121976176,-0.43813305428831617,1.4290765397563938,0.9022228131949573,0.9828685465235463,0.21779056494380722,0.38364724134092,0.2654632611090668,5.866636784580055,5.160180433916048,4.971685107636004,6.670789822857691,5.741160095142558,5.682417790007046
Saddle,-3.4985853625407026,0.44386312783323933,-1.2827595859116965,0.07440172220081909,-0.37786966688053125,1.2137911947570212,0.4228679258691561,0.5245637287361334,0.12513286279471936,0.3130293083977964,-1.4931810246201698,-1.902867024334926,1.4393211170385172,1.460717991684984,0.5407230230206173,0.15683639026469987,0.9821995917458334,0.5633901764090407,0.1380574770977705,6.096787500332436,4.790083805868803,5.007447360668431,6.436835052534215,6.57671356128396,5.963329798420795
Saddle,-12.07814115244034,0.5965070874746499,-1.726054505738992,1.8036725667456115,0.03209279367956208,1.893824452941067,-1.8941590064954545,1.794497706424038,0.687304577519489,-1.418093461208306,-0.38253773069856467,-0.2764323479061863,0.908370477654497,1.540443066039349,0.2625898369665422,-1.1269149451115013,0.25719342801634115,0.7479888409038573,0.4782899322568849,5.970332855763149,4.80342977600256,4.800335702793732,5.928500354926472,7.064515023821078,5.700123341643513
Saddle,-16.503881835062984,0.32420319347142285,-1.084279980719079,1.5874258110190393,-0.8597652646324896,0.6206861042347114,-0.6994298645030237,0.05480329909206917,0.09199523899740136,-1.1230961255198366,-0.4743654340301182,-1.1765831730947285,-0.009483856597686913,1.8034058419920564,0.9005576424011414,1.4499160090598435,0.020043468220856897,0.8403115236197837,0.9257057557048375,6.055624361050181,5.089263868164496,4.754487452210011,6.472781676365388,5.719835114664621,5.812679184109287
Saddle,-0.03172147037234413,1.38898520300189,-0.3439899522787062,1.4346613670952248,0.10103006747268228,1.48372250154503,1.334815919526637,1.5310071789109556,0.8928103399725644,-1.819369402602376,-1.993296044975439,-1.936436699485144,0.38621157624132607,1.493229901527364,1.03970756598386,-0.2716602799114076,0.15523148850927349,0.7604121213063079,0.7102636233084406,6.301342914741148,4.855776951305618,5.082561262362625,6.437960302427382,6.64518196792337,5.621919651875578
